name,location,ratings,review,Number of   ,Room    Score,Room Type,Bed Type,price
Phu Pha Phung Resort,Suan Phung,7.6,Good,402,,Villa Family,"9 beds (7 twins, 2 fulls)","   438,216"
Limon Villa Khao Yai by Tolani,Wangkata,7.9,Good,86,8.1,Deluxe Villa,1 king bed,"   132,920"
Novotel Bangkok IMPACT,Nonthaburi,8.4,Very Good,722,8.9,Executive King Room,1 king bed,"   223,185"
Samui Resotel Beach Resort - SHA extra plus,"Chaweng Beachfront, Chaweng",8.1,Very Good,825,8.5,Standard Double Room,1 king bed,"   256,658"
Anchalee Resort,Bang Saphan,7.8,Good,103,,Double Room,1 full bed,"   43,022"
Regent Lodge Lampang,Lampang,7.8,Good,597,8.1,Superior Double Room,1 full bed,"   29,113"
Atta Lakeside Resort Suite - SHA Plus Certified,Mu Si,8.7,Excellent,723,8.9,One-Bedroom Suite,"2 beds (1 king, 1 sofa bed)","   303,475"
"Kimpton Maa-Lai Bangkok, an IHG Hotel","Pathumwan, Bangkok",9.4,Wonderful,474,9.7,Essential Room,Multiple bed types,"   628,313"
Eastin Thana City Golf Resort Bangkok,Samutprakarn,8.4,Very Good,579,8.9,Superior Room,2 twin beds,"   103,192"
Sukhothai Heritage Resort - SHA PLUS,Sawankhalok,8.2,Very Good,48,8.5,Superior King Room with Pool View,1 king bed,"   142,774"
El Matcha Lanta Resort,Phra Ae beach,8.9,Excellent,194,9.3,Bungalow with Garden View,1 queen bed,"   93,900"
Koh Yao Yai Village - SHA Extra Plus,Ko Yao Yai,8.9,Excellent,882,9,Deluxe Villa,1 king bed,"   210,463"
Pen Ta Hug Hotel,Ubon Ratchathani,8,Very Good,576,8.2,Superior Double Room,1 queen bed,"   57,579"
Panviman Resort Koh Phangan - SHA Extra Plus,Thong Nai Pan Noi,8.6,Excellent,500,8.8,Executive Suite,"2 beds (1 sofa bed, 1 queen)","   2,018,484"
The X10 Nordic Tent and Glamping Pool Villa Khaoyai ??????? - SHA Certified,Ban Thung Sawang,8,Very Good,23,8.3,Villa with Private Pool,1 king bed,"   271,084"
THE WOOD,Surin,8.4,Very Good,189,8.8,Standard Double Room,1 king bed,"   80,869"
Karon Phunaka Resort,Karon Beach,8.2,Very Good,136,8.5,Superior Double or Twin Room with Sea View,   1 double or 2 twins,"   138,124"
The Sun resort Ratchaburi,Ratchaburi,8.4,Very Good,599,8.5,Deluxe King Room,1 king bed,"   36,391"
Bella Villa Cabana,Na Kluea,7.5,Good,87,8,Junior Suite with Pool View,"2 beds (1 twin, 1 full)","   200,462"
Dolphin Bay Resort SHA-EXTRA PLUS HOTEL,Sam Roi Yot,8.2,Very Good,219,8.2,Deluxe Double or Twin Room with Balcony,Multiple bed types,"   153,571"
KT Knight Hotel,Surin,8.8,Excellent,152,9,Deluxe Twin Room,"2 beds (1 twin, 1 full)","   48,521"
Raya Buri Resort Kanchanaburi,Si Sawat,7.1,Good,102,,Hillside Superior Room,"2 beds (1 twin, 1 full)","   141,100"
Destination Resorts Phuket Karon Beach - SHA Extra Plus,Karon Beach,7.3,Good,505,,Standard King Room,1 queen bed,"   209,612"
Pamookkoo,Kata Beach,8.1,Very Good,286,8.2,Deluxe Premium Room,1 king bed,"   291,127"
Taris Art Hotel Phrae,Phrae,7.5,Good,372,,Superior Double Room,1 full bed,"   51,879"
Happy Home,Ratchaburi,8.4,Very Good,469,8.7,Deluxe Double Room,1 full bed,"   41,922"
Novotel Bangkok Suvarnabhumi Airport,Lat Krabang,7.9,Good,"4,378",8.4,Superior Twin Room,2 twin beds,"   345,410"
Pullman Pattaya Hotel G,North Pattaya,7.8,Good,"1,305",8.1,Deluxe Twin Room,2 twin beds,"   195,389"
INBOX Living Rimkhong,Chiang Khan,8,Very Good,189,8.2,Superior Twin Room,2 twin beds,"   39,593"
ISTY Hotel -SHA Extra Plus,"Si Phum, Chiang Mai",8.6,Excellent,"1,257",8.8,Standard Double Room,1 king bed,"   73,183"
ARAYA HOTEL,Uttaradit,7.7,Good,155,,King Room,1 king bed,"   64,695"
Glai Gan Place Hotel,Sara Buri,7.5,Good,130,8.1,Standard Double Room,1 king bed,"   77,172"
Centara Hotel & Convention Centre Udon Thani,Udon Thani,8.4,Very Good,693,8.9,Superior Double or Twin Room,1 king bed,"   135,649"
"Splash Beach Resort, Maikhao Phuket - SHA Extra Plus",Mai Khao Beach,7.4,Good,995,,Deluxe Twin Room No Balcony,2 twin beds,"   153,443"
BN Resort,Ban Nong Chum Saeng,7.8,Good,73,,Studio with Lake View,1 king bed,"   42,052"
Khong Chiam Orchid Riverside Resort,Khong Chiam,8.5,Very Good,90,8.7,Quadruple Room with Garden View,2 full beds,"   271,072"
BlueSotel SMART Krabi Aonang Beach - Adults only - SHA Extra Plus,Ao Nang Beach,8.6,Excellent,"1,760",8.9,Double Room with Pool View,   1 double or 2 twins,"   166,975"
Baan Sabaijai Resort & Rehab,That Phanom,8.1,Very Good,62,8.4,Small Double Room,1 queen bed,"   45,286"
The Gems Mining Pool Villas Pattaya - SHA Extra Plus,Nong Prue,9,Wonderful,374,9.3,Topaz Jacuzzi,2 twin beds,"   400,493"
Kalima Resort and Villas Khao Lak - SHA EXTRA PLUS,Khao Lak,8.8,Excellent,"1,085",9.1,Deluxe Double or Twin Room,Multiple bed types,"   267,172"
The Gems Mining Pool Villas Pattaya - SHA Extra Plus,Nong Prue,9,Wonderful,374,9.3,Topaz Jacuzzi,2 twin beds,"   400,493"
Kalima Resort and Villas Khao Lak - SHA EXTRA PLUS,Khao Lak,8.8,Excellent,"1,085",9.1,Deluxe Double or Twin Room,Multiple bed types,"   267,172"
Rnana Grand,Phangnga,8.1,Very Good,99,9,Standard Double Room,1 king bed,"   67,667"
Taakradan Valley Resort ????????????????? ???????,Si Sawat,8,Very Good,46,8.3,Superior Twin Room,2 queen beds,"   56,069"
Jomkitti Boutique Hotel,"Si Phum, Chiang Mai",8.9,Excellent,429,9.4,Deluxe King with Balcony,1 king bed,"   178,274"
Fortune D Hotel Loei,Loei,7.7,Good,129,,Superior Double Room,1 full bed,"   67,293"
Pongsin Resort,Khun Han,9.2,Wonderful,91,9.4,Deluxe Double Room,1 king bed,"   54,991"
Hotel de l'amour SHA PLUS,Prakhon Chai,8.6,Excellent,79,9.1,Premier Suite,2 king beds,"   184,381"
The Harmony Ville,Phitsanulok,8.2,Very Good,364,8.5,Deluxe Double Room with Bath,1 queen bed,"   67,949"
T2 Adira Pattaya,Jomtien Beach,9.1,Wonderful,38,9.2,Premier King Room,1 full bed,"   55,841"
Centara Korat,Nakhon Ratchasima,8.9,Excellent,304,9.3,Deluxe King,1 king bed,"   125,460"
Koh Ma Beach Resort - SHA Extra Plus,Mae Haad,7.7,Good,679,8.1,Deluxe Double Room,1 full bed,"   118,694"
The Ring Border,Ban Khlong Phruan,8.3,Very Good,23,8.7,Superior Double Room,1 king bed,"   61,537"
ON Thapae Chiangmai,"Chang Moi, Chiang Mai",9.4,Wonderful,547,9.7,Standard Double Room,1 king bed,"   158,503"
Feungfah Litz,Phetchabun,8.3,Very Good,272,8.9,Standard King Room,1 king bed,"   44,750"
"Holiday Inn Express Phuket Patong Beach Central, an IHG Hotel - SHA Plus",Patong Beach,8,Very Good,"1,629",8.5,Standard Room,   1 double or 2 twins,"   175,432"
Chatrium Golf Resort Soi Dao Chanthaburi,Ban Thap Sai,8.7,Excellent,53,8.8,Deluxe Mountain View Twin Bed,2 twin beds,"   192,976"
Baan Nern Khao Resort Pattaya,Ban Huai Yai,9.3,Wonderful,63,9.4,Two-Bedroom House,2 queen beds,"   264,926"
Novotel Bangkok Future Park Rangsit,Pathum Thani,8.7,Excellent,358,9.4,Superior Twin Room,2 twin beds,"   136,364"
???????? ??????? (StockHome Khao Yai),Khanong Phra,8.9,Excellent,73,9.1,Standard Double or Twin Room,1 king bed,"   135,749"
RED PEARL BEACH RESORT,Chaloklum,8.3,Very Good,290,8.5,King Room with Pool View,1 king bed,"   136,895"
Thong Nai Pan Beach Residence,Thong Nai Pan Yai,8.9,Excellent,176,8.8,Deluxe Double Room with Balcony,1 king bed,"   194,085"
Mamaungpaa Hill resort,Ta Khli,8,Very Good,59,8,Triple Room with Pool View,"2 beds (1 twin, 1 queen)","   74,399"
Mela Garden Retreat Cottage,Muak Lek District,8.1,Very Good,45,8.1,Double Room with Terrace,Multiple bed types,"   175,288"
Mookies Bungalows,Ko Mook,9,Wonderful,301,8.9,Bungalow,1 full bed,"   67,098"
The Garden 304,"304 Industrial Park, Si Maha Phot",8.5,Very Good,89,9.1,1-Bedroom Deluxe City View,1 twin bed,"   98,158"
Nautilus Right on the Beach - Adult Only - SHA Extra Plus,"Phra Ae Beach, Ko Lanta",9,Wonderful,85,9.1,Standard Double Room,1 king bed,"   154,880"
Emporium Suites by Chatrium,"Khlong Toei, Bangkok",8.4,Very Good,364,8.7,Deluxe King Room,1 king bed,"   320,240"
"Sarikantang Resort & Spa, Koh Phangan","Leela Beach, Haad Rin",8.3,Very Good,768,8.6,Deluxe Double or Twin Room with Pool View,1 queen bed,"   224,801"
Siam View Hotel and Residence,Pattaya,8.6,Excellent,356,8.7,Standard Double Room,1 queen bed,"   95,879"
Ray Hotel Buriram,Buriram,8.1,Very Good,387,8.1,Deluxe Double Room,1 king bed,"   76,571"
Wind Beach Resort,"Sairee Beach, Ko Tao",8,Very Good,682,8.2,King Room with Balcony,1 full bed,"   120,980"
Centara Grand Mirage Beach Resort Pattaya - SHA Extra Plus,North Pattaya,8.4,Very Good,"1,187",8.5,Deluxe Ocean View King,1 king bed,"   401,398"
Hilton Hua Hin Resort & Spa,"Hua Hin Night Market, Hua Hin",8.2,Very Good,"1,892",8.7,Classic Twin Room with Ocean View,2 twin beds,"   287,322"
Citygate Kamala Resort and Residence,Kamala Beach,7.4,Good,544,,Junior Suite King,"2 beds (1 king, 1 sofa bed)","   98,634"
Sun Moon Hotel,Loei,7.2,Good,141,,Standard Double Room,1 queen bed,"   38,170"
Chill House ??????????,Ban Mae Salap,8.3,Very Good,127,8.5,Superior Queen Room,1 twin bed,"   36,044"
JK LIVING Hotel And Service Apartment,Chachoengsao,8.9,Excellent,163,9.2,Standard King Size Bed,1 king bed,"   65,250"
Legendha Sukhothai Hotel - SHA certified,"Mueang Kao, Sukhothai",8.5,Very Good,609,8.8,Superior Double or Twin Room,Multiple bed types,"   146,821"
Tour De Phuket Hotel - SHA Plus,Thalang,8.4,Very Good,183,9,Deluxe Double or Twin Room,Multiple bed types,"   57,387"
Phu Morinn Cafe&Camping,Mon Jam,8.1,Very Good,128,8,Budget Double Room,1 twin bed,"   186,322"
"Sindhorn Midtown Hotel Bangkok, Vignette Collection - an IHG Hotel","Pathumwan, Bangkok",9,Wonderful,"1,996",9.5,Premium Twin Room,2 twin beds,"   330,051"
Chao Phraya Home,Ban Bon,7.7,Good,76,,Double Room,1 queen bed,"   35,744"
Tanouy Garden,Baan Khai,8.1,Very Good,355,,One-Bedroom House,2 twin beds,"   123,105"
Khao Sok River & Jungle Resort,Khao Sok National Park,9.1,Wonderful,788,9,Queen Room with Garden View,1 queen bed,"   86,756"
Suansin Lanna Hotel,Tak,7.8,Good,385,8.1,Superior King Room,1 queen bed,"   38,817"
Ratana Hotel Rassada - SHA Extra Plus,Phuket,7.8,Good,293,8.4,Superior Double or Twin Room,Multiple bed types,"   70,980"
De Chai the Deco Chiang Mai - SHA Plus,"Chang Moi, Chiang Mai",8.9,Excellent,602,9.4,Two bedroom Premier Suite,2 king beds,"   331,228"
Koh Tao Heritage,Ko Tao,8.3,Very Good,"1,266",8.7,Superior Triple Room with Sea View,"2 beds (1 twin, 1 king)","   163,221"
BEAR’S DEN HOTEL PATTAYA,Jomtien Beach,7.9,Good,181,8.3,Twin Room with Balcony,2 twin beds,"   68,845"
Pru Valley Thaley Tai Resort,Ban Don Phlap (1),8.6,Excellent,70,9,King Room with Garden View,1 king bed,"   61,460"
PhiPhi Andaman Resort,"Tonsai Bay, Phi Phi Islands",7.3,Good,739,,Standard Queen Room,1 full bed,"   101,479"
Avani Plus Khao Lak Resort,"Bangsak Beach, Khao Lak",9.2,Wonderful,66,9.5,Deluxe Room,1 king bed,"   231,915"
TUI BLUE Khao Lak Resort - SHA Plus,"Khao Lak Beach, Khao Lak",8.8,Excellent,122,9.4,Deluxe Double or Twin Room - Adults Only,   1 double or 2 twins,"   126,220"
M Village Hostel,"Dannok, Sadao",8.1,Very Good,136,8.4,Deluxe Twin Room,2 twin beds,"   35,582"
"Coombs Cottage, Khaoyai, Mu Si",Ban Rai Khlong Sai,8.7,Excellent,55,8.9,Three-Bedroom House,"4 beds (2 twins, 2 queens)","   375,305"
Zenseana Resort & Spa - SHA Plus,Patong Beach,8,Very Good,"1,422",8.6,Premier Room,Multiple bed types,"   152,773"
Boutique Resort Private Pool Villa - SHA Extra Plus,Ban Pa Khlok,8.5,Very Good,194,8.9,"2 Bedroom Suite Private Pool Villa With Bathtub (Free airport pick up minimum 3 nights, 25% discount on food and beverages)","3 beds (2 twins, 1 king)","   327,195"
Hideaway Resort Banchang,Ban Chang,9.3,Wonderful,68,9.6,Deluxe Studio,1 queen bed,"   126,294"
Bandara Phuket Beach Resort - SHA Extra Plus,Panwa Beach,8.3,Very Good,464,8.7,Superior Double or Twin Room,Multiple bed types,"   141,226"
Ascott Embassy Sathorn Bangkok - SHA Plus Certified,"Sathorn, Bangkok",8.9,Excellent,425,9.4,Deluxe King Room,1 queen bed,"   306,325"
Shama Yen-Akat Bangkok,"Sathorn, Bangkok",9.2,Wonderful,488,9.5,King Room with Balcony,1 king bed,"   162,952"
Oriental Residence Bangkok,"Pathumwan, Bangkok",8.8,Excellent,371,9.2,Junior Suite King,1 king bed,"   398,516"
Privacy Residence Lopburi,Lop Buri,8.1,Very Good,202,8.3,Standard Double Room,1 queen bed,"   38,170"
Poonsiri Resort Aonang-SHA Extra Plus,Ao Nang Beach,8.7,Excellent,604,8.9,Superior Twin Room,"3 beds (2 twins, 1 sofa bed)","   180,732"
The Mud - SHA Plus Certified,Ban Bang Po,8.4,Very Good,460,8.9,Deluxe Villa,1 king bed,"   203,477"
Santhiya Phuket Natai Resort & Spa,Natai Beach,8.8,Excellent,139,9.3,Deluxe Pool Suite,"2 beds (1 king, 1 sofa bed)","   344,891"
Melia Koh Samui - SHA Extra Plus,Choeng Mon Beach,9.2,Wonderful,800,9.5,Deluxe Room,Multiple bed types,"   464,384"
The O-Zone Airport Inn,Ban Khlong Prawet,7.5,Good,214,,Standard King Room,1 king bed,"   58,225"
The Space Hotel Lampang,Lampang,8.3,Very Good,67,8.9,Deluxe King Room,1 queen bed,"   83,479"
Cave Lodge,Pang Mapha,9,Wonderful,103,8.5,Queen Room with Balcony,1 full bed,"   57,579"
A-Te Chumphon Hotel,Chumphon,7.9,Good,515,8.2,Deluxe Double Room,Multiple bed types,"   122,749"
"S Bangkok Hotel, Navamin",Ban Khi Sua,8.3,Very Good,166,8.9,Standard Twin Room,2 twin beds,"   84,427"
Sorin hotel,Surin,8.2,Very Good,79,8.5,Deluxe Room,1 queen bed,"   94,325"
NIDHRA ????? ??????????,Ban Lat Krachaeng,9.5,Exceptional,"1,067",9.7,Studio Apartment,1 queen bed,"   58,641"
Nampiangdin Boutique Hotel,"Hai Ya, Chiang Mai",8.8,Excellent,528,9.2,Lanna Deluxe Double Room,1 full bed,"   157,209"
The Spirit Resort Hua Hin,Khao Tao,8.5,Very Good,8,10,Two-Bedroom Pool Villa,2 queen beds,"   406,817"
Grand Fortune Hotel Nakhon Si Thammarat,Nakhon Si Thammarat,8.7,Excellent,135,9.1,Superior Twin Room,1 twin bed,"   142,329"
Saming Chiang Dao Guest House,Chiang Dao,7.8,Good,131,8,Deluxe Double Room,1 twin bed,"   22,643"
Norn Rimklong,Bangkok Noi,9.1,Wonderful,66,9.5,Superior King Room with City View,1 king bed,"   71,164"
Koh Mak Ao Kao White Sand Beach,Ko Mak,8.5,Very Good,166,8.8,Villa with Garden View,1 king bed,"   165,943"
Novotel Bangkok Bangna,Bangna,8,Very Good,337,8.5,Standard Queen Room,1 queen bed,"   101,340"
Citadines Grand Central Sri Racha - SHA Extra Plus,Si Racha,8.8,Excellent,408,9.2,Studio Executive,1 queen bed,"   105,408"
The Beach Resort & Residence - SHA Plus,Pathiu,8,Very Good,223,8.6,Studio,Multiple bed types,"   142,021"
Baan Dara Resort,Sara Buri,7.5,Good,441,,Superior Bungalow,"2 beds (1 twin, 1 queen)","   51,109"
Forgotten Hostel Silom,"Silom, Bang Rak",8.5,Very Good,66,8.9,Standard Twin Room,2 twin beds,"   82,460"
Pullman Phuket Arcadia Karon Beach Resort,Karon Beach,8.4,Very Good,"1,286",8.9,Superior Twin Room with Garden View,2 twin beds,"   274,954"
The Proud Exclusive Hotel-SHA Plus,Nakhon Pathom,7.7,Good,60,8.2,Superior,1 king bed,"   63,806"
Maewin Guest House and Resort,Ban Huai Rin,9.3,Wonderful,31,8.9,Standard Double Room,1 full bed,"   90,573"
Keeree Loft Resort,Thong Pha Phum,7.2,Good,128,,Standard Double or Twin Room,Multiple bed types,"   98,401"
Maehaad Bay Resort - SHA Plus,Mae Haad,7.9,Good,410,8.5,Standard Double or Twin Room,   1 double or 2 twins,"   160,503"
SK Resort Pattaya,Bang Lamung,8,Very Good,69,8.3,Standard Queen Room,1 king bed,"   41,340"
Nuch's Apple Guest House,Si Bun Ruang,9.2,Wonderful,28,9.5,Double Room with Garden View,1 queen bed,"   40,758"
Coriacea Beachfront Boutique Phuket Resort - SHA Plus,Mai Khao Beach,8.1,Very Good,406,8.4,Deluxe Twin Room,2 twin beds,"   121,445"
Green Ville Laguna Hotel,Sung Noen,8.9,Excellent,74,9.2,Deluxe Twin Room,2 twin beds,"   139,159"
Slive Hotel,Surin,8.8,Excellent,223,9.4,Deluxe Twin Room,2 twin beds,"   102,865"
The Wisdom Residence,Bung Kan,7.8,Good,131,8.1,King Room with Balcony,1 king bed,"   42,052"
Summit Windmill Golf Residence,Bangna,8.3,Very Good,661,8.8,Presidential Duplex Suite,"4 beds (2 twins, 2 queens)","   1,585,910"
Coco Pina,Prachuap Khiri Khan,9.4,Wonderful,188,9.5,Two-Bedroom Suite,"3 beds (2 twins, 1 queen)","   196,436"
Cross Vibe Chiang Mai Decem Nimman Hotel - formerly X2 Vibe Chiang Mai Decem - SHA Extra Plus,"Chang Phueak, Chiang Mai",8.4,Very Good,387,9,Deluxe Room,   1 double or 2 twins,"   79,518"
Cross Vibe Chiang Mai Decem Nimman Hotel - formerly X2 Vibe Chiang Mai Decem - SHA Extra Plus,"Chang Phueak, Chiang Mai",8.4,Very Good,387,9,Deluxe Room,   1 double or 2 twins,"   79,518"
Sugar Marina Resort -AVIATOR- Phuket Airport - SHA Extra Plus,Nai Yang Beach,7.7,Good,622,8.1,Deluxe Room (Exclude Airport Transfer),Multiple bed types,"   97,201"
Sunsuri Phuket - SHA Plus,Nai Harn Beach,8.5,Very Good,352,8.8,Superior King or Twin Room,Multiple bed types,"   245,964"
??????????????????,Yasothon,7.8,Good,10,8,Standard King Room,1 king bed,"   37,847"
Mae Sot Commune,Mae Sot,9.9,Exceptional,312,9.8,Tent,2 twin beds,"   2,588"
Thepchamrat Boutique Hotel,Uttaradit,8.1,Very Good,56,8.4,Queen Room with Balcony,1 king bed,"   37,847"
Rancho Charnvee Resort & Country Club Khaoyai,Pak Chong,8.4,Very Good,197,8.7,One Bedroom Villa,1 queen bed,"   435,139"
Phu Fahsai Homestay,Mon Jam,8.1,Very Good,308,8.5,Tent,1 queen bed,"   97,042"
Chivapuri Beach Resort,"Klong Kloi Beach, Ko Chang",8.4,Very Good,137,8.9,Superior Double Room,1 king bed,"   241,220"
Coco Bella Hotel,"Loh Dalum Bay, Phi Phi Islands",7.4,Good,"1,395",,Superior Double Room with Pool View,1 full bed,"   165,758"
"Holiday Inn Express Bangkok Siam, an IHG Hotel - SHA Extra Plus","Pathumwan, Bangkok",7.8,Good,"1,472",8.3,Standard Double or Twin Room,1 full bed,"   185,087"
Mida Resort Kanchanaburi - SHA PLUS,Sai Yok,8,Very Good,269,8.2,Tent River View,2 futon beds,"   110,462"
P.L.P Guesthouse - Mae Hong Son,Mae Hong Son,7.8,Good,178,8,Standard Twin Room with Fan,2 twin beds,"   20,689"
Star 3 Residence,Rayong,8.4,Very Good,235,8.7,Standard Double A,1 full bed,"   39,464"
"Holiday Inn Resort Phuket, an IHG Hotel - SHA Extra Plus",Patong Beach,8.9,Excellent,"1,308",9.3,1 King Premium Villa Pool View Adults Only,1 king bed,"   539,928"
Mövenpick Myth Hotel Patong Phuket,Patong Beach,8.8,Excellent,613,9.1,Classic King Room with Pool View,1 king bed,"   238,447"
Mek Kiri Riverkwai Resort SHA,Thong Pha Phum,7,Good,61,,Superior Twin Room with Garden View,2 twin beds,"   89,293"
Ibis Hua Hin,"Khao Takiab, Hua Hin",7.8,Good,"1,810",8.1,Standard Double Room,1 queen bed,"   90,262"
Thai Smile serviced Appartments,Nong Prue,8,Very Good,152,,Deluxe Double or Twin Room with Balcony,"3 beds (2 twins, 1 full)","   24,473"
Oakwood Hotel & Residence Bangkok SHA Plus Certified,"Sathorn, Bangkok",8.1,Very Good,782,8.5,Superior Double or Twin Room,   1 double or 2 twins,"   169,304"
Sugar Marina Resort - NAUTICAL - Kata Beach - SHA plus,"Kata Noi Beach, Kata Beach",8.3,Very Good,273,8.5,Deluxe Double or Twin Room,Multiple bed types,"   151,622"
Fortune Hotel Korat- SHA Plus,Nakhon Ratchasima,8,Very Good,633,8.2,Superior Double or Twin Room with City View,   1 double or 2 twins,"   79,113"
Hop Inn Mukdahan,Mukdahan,8.2,Very Good,229,8.5,Standard Double Room,1 full bed,"   36,876"
New Hut Bungalow,Lamai,8.3,Very Good,647,8.1,Bungalow with Garden View and  Fan and Shared Bathroom,2 twin beds,"   34,288"
Lam-tong Resort,Don Sak,8.4,Very Good,92,8.2,Deluxe Double Room,1 queen bed,"   45,286"
Kuiburi Hotel & Resort,Kui Buri,7.1,Good,57,,Villa with Garden View,1 queen bed,"   195,795"
lyf Sukhumvit 8 Bangkok Managed by The Ascott Limited,"Khlong Toei, Bangkok",8.6,Excellent,402,9.1,One of a Kind,1 queen bed,"   125,442"
Maikhao Palm Beach Resort - SHA Plus,Mai Khao Beach,7.5,Good,435,8.2,Deluxe Double or Twin Room with Sea View,1 full bed,"   269,131"
"Valia Hotel Bangkok, Sukhumvit 24","Khlong Toei, Bangkok",8.5,Very Good,562,9.1,Deluxe - Tower 2,1 king bed,"   230,630"
Green Terrace Resort,Chanthaburi,8.3,Very Good,92,8.8,Poolside Room,1 full bed,"   85,913"
Papangkorn House,Suratthani,8.1,Very Good,587,8.5,Deluxe Double Room,1 full bed,"   43,669"
Sheraton Hua Hin Pranburi Villas,"Pak Nam Pran, Pran Buri",8.5,Very Good,108,8.7,Villa with Private Pool,1 queen bed,"   553,554"
Sunprime Kamala Beach - SHA Plus,Kamala Beach,8.6,Excellent,430,9,Grand Deluxe Pool View Room,   1 double or 2 twins,"   252,957"
Phi Phi The Beach Resort- SHA Certified,"Long Beach, Phi Phi Islands",8.5,Very Good,"1,143",8.7,Superior Villa with Partial Sea View-Free Transfer to Tonsai Pier,1 full bed,"   340,203"
